Local time,Open,High,Low,Close,Volume
02.01.2020 16:05:00.000 GMT-0600,1.11728,1.11741,1.11717,1.11731,50.99
02.01.2020 16:10:00.000 GMT-0600,1.11727,1.11735,1.11715,1.11734,69.87
02.01.2020 16:15:00.000 GMT-0600,1.11733,1.11736,1.11705,1.11729,59.99
02.01.2020 16:20:00.000 GMT-0600,1.11736,1.11736,1.11731,1.11731,6.17
02.01.2020 16:25:00.000 GMT-0600,1.11732,1.11738,1.11731,1.11732,30.14
02.01.2020 16:30:00.000 GMT-0600,1.11732,1.11739,1.11728,1.11736,95.02
02.01.2020 16:35:00.000 GMT-0600,1.11736,1.11736,1.11728,1.11729,39.41
02.01.2020 16:40:00.000 GMT-0600,1.11729,1.11735,1.11728,1.11731,18.12
02.01.2020 16:45:00.000 GMT-0600,1.11732,1.11732,1.11719,1.11721,21.88
02.01.2020 16:50:00.000 GMT-0600,1.11721,1.11726,1.11718,1.11726,21.38
02.01.2020 16:55:00.000 GMT-0600,1.11723,1.11723,1.11717,1.11723,13.85
02.01.2020 17:00:00.000 GMT-0600,1.11722,1.11732,1.11722,1.1173,240.46
02.01.2020 17:05:00.000 GMT-0600,1.11729,1.11736,1.11729,1.11731,74.04
02.01.2020 17:10:00.000 GMT-0600,1.11732,1.11732,1.11725,1.11731,89.99
02.01.2020 17:15:00.000 GMT-0600,1.1173,1.11736,1.1173,1.11733,101.84
02.01.2020 17:20:00.000 GMT-0600,1.11732,1.11737,1.1173,1.11732,69.19
02.01.2020 17:25:00.000 GMT-0600,1.11733,1.11737,1.11725,1.11731,106.22
02.01.2020 17:30:00.000 GMT-0600,1.11731,1.11737,1.11726,1.11727,81.83
02.01.2020 17:35:00.000 GMT-0600,1.11726,1.11727,1.11708,1.1171,177.67
02.01.2020 17:40:00.000 GMT-0600,1.11709,1.11712,1.11705,1.1171,91.87
02.01.2020 17:45:00.000 GMT-0600,1.1171,1.1171,1.11704,1.11705,55.62
02.01.2020 17:50:00.000 GMT-0600,1.11705,1.11711,1.11704,1.11711,86.41
02.01.2020 17:55:00.000 GMT-0600,1.1171,1.11712,1.1171,1.11711,147.18
02.01.2020 18:00:00.000 GMT-0600,1.11711,1.11712,1.117,1.11707,209.63
02.01.2020 18:05:00.000 GMT-0600,1.11705,1.11722,1.117,1.11722,105.26
02.01.2020 18:10:00.000 GMT-0600,1.11723,1.11739,1.11719,1.11732,905.61
02.01.2020 18:15:00.000 GMT-0600,1.11731,1.11732,1.1172,1.11722,171.32
02.01.2020 18:20:00.000 GMT-0600,1.11721,1.11728,1.11717,1.11723,165.38
02.01.2020 18:25:00.000 GMT-0600,1.11722,1.11729,1.11722,1.11726,114.61
02.01.2020 18:30:00.000 GMT-0600,1.11727,1.11731,1.11726,1.11731,268.73
02.01.2020 18:35:00.000 GMT-0600,1.11732,1.11733,1.11726,1.11728,300.99
02.01.2020 18:40:00.000 GMT-0600,1.11728,1.11729,1.11726,1.11728,153.08
02.01.2020 18:45:00.000 GMT-0600,1.11728,1.11738,1.11728,1.11738,59.99
02.01.2020 18:50:00.000 GMT-0600,1.11738,1.11749,1.11738,1.11747,284.18
02.01.2020 18:55:00.000 GMT-0600,1.11748,1.11763,1.11748,1.11758,237.85
02.01.2020 19:00:00.000 GMT-0600,1.11756,1.11758,1.11748,1.11758,283.27
02.01.2020 19:05:00.000 GMT-0600,1.11757,1.11767,1.11757,1.11767,112.75
02.01.2020 19:10:00.000 GMT-0600,1.11766,1.11782,1.1176,1.11778,141.62
02.01.2020 19:15:00.000 GMT-0600,1.11777,1.11788,1.11771,1.11783,336.52
02.01.2020 19:20:00.000 GMT-0600,1.11783,1.11785,1.11766,1.1177,276.4
02.01.2020 19:25:00.000 GMT-0600,1.11769,1.11777,1.11761,1.11761,203.96
02.01.2020 19:30:00.000 GMT-0600,1.11761,1.11762,1.11746,1.11755,188.72
02.01.2020 19:35:00.000 GMT-0600,1.11756,1.11758,1.1174,1.11742,130.07
02.01.2020 19:40:00.000 GMT-0600,1.11742,1.1175,1.11731,1.11733,313.82
02.01.2020 19:45:00.000 GMT-0600,1.11732,1.11748,1.11725,1.11746,357.44
02.01.2020 19:50:00.000 GMT-0600,1.11746,1.1177,1.11744,1.11768,631.54
02.01.2020 19:55:00.000 GMT-0600,1.11768,1.11772,1.11735,1.11738,671.77
02.01.2020 20:00:00.000 GMT-0600,1.11737,1.11764,1.11735,1.11758,572.86
02.01.2020 20:05:00.000 GMT-0600,1.11757,1.1176,1.11744,1.11751,443.46
02.01.2020 20:10:00.000 GMT-0600,1.1175,1.11768,1.1175,1.11758,235.06
